YEAR,STATE,AVG_SCORE,TEST_SUBJECT,TEST_YEAR
2017,Alabama,268.312020240893,Mathematics,8
2017,Alaska,277.015571755108,Mathematics,8
2017,Arizona,282.248145284054,Mathematics,8
2017,Arkansas,273.75990725281,Mathematics,8
2017,California,276.638200063835,Mathematics,8
2017,Colorado,286.247717546748,Mathematics,8
2017,Connecticut,284.144330330682,Mathematics,8
2017,Delaware,278.023498869959,Mathematics,8
2017,District of Columbia,265.779770573735,Mathematics,8
2017,Florida,279.120415156315,Mathematics,8
2017,Georgia,281.035487532394,Mathematics,8
2017,Hawaii,277.336845826814,Mathematics,8
2017,Idaho,284.371732938877,Mathematics,8
2017,Illinois,281.617997668016,Mathematics,8
2017,Indiana,287.705639463898,Mathematics,8
2017,Iowa,286.239418158172,Mathematics,8
2017,Kansas,285.283507884924,Mathematics,8
2017,Kentucky,277.714161796085,Mathematics,8
2017,Louisiana,266.506760283641,Mathematics,8
2017,Maine,284.003007342022,Mathematics,8
2017,Maryland,280.910245611123,Mathematics,8
2017,Massachusetts,297.0422252108,Mathematics,8
2017,Michigan,279.505454699336,Mathematics,8
2017,Minnesota,293.962375743927,Mathematics,8
2017,Mississippi,270.91490754267,Mathematics,8
2017,Missouri,280.596021606445,Mathematics,8
2017,Montana,285.600436850241,Mathematics,8
2017,Nebraska,288.405955332178,Mathematics,8
2017,Nevada,275.365455514069,Mathematics,8
2017,New Hampshire,293.290654433387,Mathematics,8
2017,New Jersey,291.698552399307,Mathematics,8
2017,New Mexico,269.374084020303,Mathematics,8
2017,New York,281.687999953596,Mathematics,8
2017,North Carolina,281.926028447068,Mathematics,8
2017,North Dakota,288.172322165675,Mathematics,8
2017,Ohio,287.714266317975,Mathematics,8
2017,Oklahoma,274.688883411113,Mathematics,8
2017,Oregon,282.173028442268,Mathematics,8
2017,Pennsylvania,286.393832326288,Mathematics,8
2017,Rhode Island,277.180125645798,Mathematics,8
2017,South Carolina,274.67382111862,Mathematics,8
2017,South Dakota,286.376159534544,Mathematics,8
2017,Tennessee,278.777735468651,Mathematics,8
2017,Texas,282.320510342396,Mathematics,8
2017,Utah,286.816559110458,Mathematics,8
2017,Vermont,287.62338824063,Mathematics,8
2017,Virginia,290.081407427647,Mathematics,8
2017,Washington,289.131257183192,Mathematics,8
2017,West Virginia,273.415853633933,Mathematics,8
2017,Wisconsin,288.143144315469,Mathematics,8
2017,Wyoming,288.761811740442,Mathematics,8
2015,Alabama,266.555318518065,Mathematics,8
2015,Alaska,280.493456179845,Mathematics,8
2015,Arizona,282.919489420654,Mathematics,8
2015,Arkansas,275.064756412469,Mathematics,8
2015,California,275.324573012154,Mathematics,8
2015,Colorado,285.539188724412,Mathematics,8
2015,Connecticut,283.956677264342,Mathematics,8
2015,Delaware,279.810243773994,Mathematics,8
2015,District of Columbia,263.059776256545,Mathematics,8
2015,Florida,275.323817958749,Mathematics,8
2015,Georgia,278.711796774375,Mathematics,8
2015,Hawaii,279.340145034503,Mathematics,8
2015,Idaho,283.742325345327,Mathematics,8
2015,Illinois,281.968567276813,Mathematics,8
2015,Indiana,287.175201077669,Mathematics,8
2015,Iowa,286.41621998599,Mathematics,8
2015,Kansas,283.871096311731,Mathematics,8
2015,Kentucky,277.947260135803,Mathematics,8
2015,Louisiana,268.432355132751,Mathematics,8
2015,Maine,284.875476957911,Mathematics,8
2015,Maryland,283.149034098785,Mathematics,8
2015,Massachusetts,296.908571436848,Mathematics,8
2015,Michigan,278.168651923457,Mathematics,8
2015,Minnesota,294.147777973073,Mathematics,8
2015,Mississippi,270.580479347121,Mathematics,8
2015,Missouri,280.821425670635,Mathematics,8
2015,Montana,287.464005517244,Mathematics,8
2015,Nebraska,286.498563486228,Mathematics,8
2015,Nevada,275.171868843271,Mathematics,8
2015,New Hampshire,294.413018726344,Mathematics,8
2015,New Jersey,293.36593817877,Mathematics,8
2015,New Mexico,270.897534405553,Mathematics,8
2015,New York,280.089220069279,Mathematics,8
2015,North Carolina,281.331091062317,Mathematics,8
2015,North Dakota,288.244147214039,Mathematics,8
2015,Ohio,285.061955059169,Mathematics,8
2015,Oklahoma,274.58598213814,Mathematics,8
2015,Oregon,282.814899352646,Mathematics,8
2015,Pennsylvania,283.668415444349,Mathematics,8
2015,Rhode Island,281.445219579398,Mathematics,8
2015,South Carolina,275.827866191395,Mathematics,8
2015,South Dakota,284.64140569224,Mathematics,8
2015,Tennessee,278.203380665353,Mathematics,8
2015,Texas,283.793540280437,Mathematics,8
2015,Utah,286.116911188659,Mathematics,8
2015,Vermont,290.355191159079,Mathematics,8
2015,Virginia,287.709298675278,Mathematics,8
2015,Washington,286.513107597489,Mathematics,8
2015,West Virginia,271.45070884715,Mathematics,8
2015,Wisconsin,289.077749211995,Mathematics,8
2015,Wyoming,286.666547067471,Mathematics,8
2013,Alabama,269.194280616502,Mathematics,8
2013,Alaska,281.559572836526,Mathematics,8
2013,Arizona,279.722267962505,Mathematics,8
2013,Arkansas,277.914802456258,Mathematics,8
2013,California,275.901350652197,Mathematics,8
2013,Colorado,289.68180010958,Mathematics,8
2013,Connecticut,285.243972274119,Mathematics,8
2013,Delaware,282.338298596548,Mathematics,8
2013,District of Columbia,265.259365712508,Mathematics,8
2013,Florida,280.855839554008,Mathematics,8
2013,Georgia,279.179110912454,Mathematics,8
2013,Hawaii,281.412922288425,Mathematics,8
2013,Idaho,286.413881629757,Mathematics,8
2013,Illinois,284.897647164169,Mathematics,8
2013,Indiana,287.767653833023,Mathematics,8
2013,Iowa,285.07013777479,Mathematics,8
2013,Kansas,289.518256078135,Mathematics,8
2013,Kentucky,280.64544247635,Mathematics,8
2013,Louisiana,272.760966478426,Mathematics,8
2013,Maine,288.731159737956,Mathematics,8
2013,Maryland,286.641381102957,Mathematics,8
2013,Massachusetts,300.568235011147,Mathematics,8
2013,Michigan,280.133597093752,Mathematics,8
2013,Minnesota,294.592972603507,Mathematics,8
2013,Mississippi,271.160967287249,Mathematics,8
2013,Missouri,282.988457911702,Mathematics,8
2013,Montana,289.228453008852,Mathematics,8
2013,Nebraska,285.061348473454,Mathematics,8
2013,Nevada,278.28668090862,Mathematics,8
2013,New Hampshire,295.665123344221,Mathematics,8
2013,New Jersey,296.053351131027,Mathematics,8
2013,New Mexico,272.761808894229,Mathematics,8
2013,New York,281.807787831651,Mathematics,8
2013,North Carolina,285.645388424867,Mathematics,8
2013,North Dakota,290.515111260981,Mathematics,8
2013,Ohio,289.528096752185,Mathematics,8
2013,Oklahoma,275.506732026577,Mathematics,8
2013,Oregon,283.524589064024,Mathematics,8
2013,Pennsylvania,289.623651633339,Mathematics,8
2013,Rhode Island,284.092212214805,Mathematics,8
2013,South Carolina,279.824608578537,Mathematics,8
2013,South Dakota,287.270390625653,Mathematics,8
2013,Tennessee,277.720127269641,Mathematics,8
2013,Texas,288.198967599188,Mathematics,8
2013,Utah,284.331486246838,Mathematics,8
2013,Vermont,295.469562357463,Mathematics,8
2013,Virginia,288.142959517699,Mathematics,8
2013,Washington,289.956988743835,Mathematics,8
2013,West Virginia,274.430134697899,Mathematics,8
2013,Wisconsin,288.745780841654,Mathematics,8
2013,Wyoming,288.119137263578,Mathematics,8
2011,Alabama,269.09651583719,Mathematics,8
2011,Alaska,283.2727978671,Mathematics,8
2011,Arizona,279.033501713793,Mathematics,8
2011,Arkansas,279.088205018109,Mathematics,8
2011,California,272.769803091291,Mathematics,8
2011,Colorado,291.7426728709,Mathematics,8
2011,Connecticut,286.999944694085,Mathematics,8
2011,Delaware,282.769966403216,Mathematics,8
2011,District of Columbia,260.46687784992,Mathematics,8
2011,Florida,277.837035214102,Mathematics,8
2011,Georgia,278.483619188656,Mathematics,8
2011,Hawaii,277.836211052583,Mathematics,8
2011,Idaho,286.675063250389,Mathematics,8
2011,Illinois,283.228134687939,Mathematics,8
2011,Indiana,285.00291608665,Mathematics,8
2011,Iowa,284.920836058704,Mathematics,8
2011,Kansas,289.61928267474,Mathematics,8
2011,Kentucky,281.608809706829,Mathematics,8
2011,Louisiana,272.843333892634,Mathematics,8
2011,Maine,288.732297636602,Mathematics,8
2011,Maryland,287.997802255227,Mathematics,8
2011,Massachusetts,298.512431105164,Mathematics,8
2011,Michigan,280.176517968298,Mathematics,8
2011,Minnesota,294.946422810345,Mathematics,8
2011,Mississippi,269.235645624753,Mathematics,8
2011,Missouri,281.947646246654,Mathematics,8
2011,Montana,292.907804277033,Mathematics,8
2011,Nebraska,283.197044839966,Mathematics,8
2011,Nevada,278.113153726165,Mathematics,8
2011,New Hampshire,292.10873973776,Mathematics,8
2011,New Jersey,294.138771366004,Mathematics,8
2011,New Mexico,274.454701456959,Mathematics,8
2011,New York,280.453026092986,Mathematics,8
2011,North Carolina,286.267028242857,Mathematics,8
2011,North Dakota,291.998404485775,Mathematics,8
2011,Ohio,288.602596832439,Mathematics,8
2011,Oklahoma,279.179608185009,Mathematics,8
2011,Oregon,282.518206779261,Mathematics,8
2011,Pennsylvania,286.102741735941,Mathematics,8
2011,Rhode Island,282.875659622898,Mathematics,8
2011,South Carolina,281.000133716553,Mathematics,8
2011,South Dakota,290.61519679044,Mathematics,8
2011,Tennessee,274.038710319906,Mathematics,8
2011,Texas,290.346709355265,Mathematics,8
2011,Utah,283.308332086503,Mathematics,8
2011,Vermont,293.882577068531,Mathematics,8
2011,Virginia,289.255411153431,Mathematics,8
2011,Washington,288.107761945489,Mathematics,8
2011,West Virginia,273.263173122564,Mathematics,8
2011,Wisconsin,288.665932686223,Mathematics,8
2011,Wyoming,287.767926048951,Mathematics,8
2009,Alabama,268.524120315168,Mathematics,8
2009,Alaska,283.047662800849,Mathematics,8
2009,Arizona,277.332281962623,Mathematics,8
2009,Arkansas,275.999499994013,Mathematics,8
2009,California,270.448588146426,Mathematics,8
2009,Colorado,287.372907515934,Mathematics,8
2009,Connecticut,288.608513451696,Mathematics,8
2009,Delaware,283.829472979958,Mathematics,8
2009,District of Columbia,253.595186871272,Mathematics,8
2009,Florida,279.33526411278,Mathematics,8
2009,Georgia,277.561199732371,Mathematics,8
2009,Hawaii,273.758606683625,Mathematics,8
2009,Idaho,287.305215052426,Mathematics,8
2009,Illinois,282.431416992088,Mathematics,8
2009,Indiana,286.809977886735,Mathematics,8
2009,Iowa,284.170178554705,Mathematics,8
2009,Kansas,288.596403041255,Mathematics,8
2009,Kentucky,279.284216093787,Mathematics,8
2009,Louisiana,272.379906697646,Mathematics,8
2009,Maine,286.361425938805,Mathematics,8
2009,Maryland,288.341565298202,Mathematics,8
2009,Massachusetts,298.854346618482,Mathematics,8
2009,Michigan,278.268168151681,Mathematics,8
2009,Minnesota,294.443320106986,Mathematics,8
2009,Mississippi,265.001958154729,Mathematics,8
2009,Missouri,285.808001946777,Mathematics,8
2009,Montana,291.542942879491,Mathematics,8
2009,Nebraska,284.259093531038,Mathematics,8
2009,Nevada,274.148541684888,Mathematics,8
2009,New Hampshire,292.321817220053,Mathematics,8
2009,New Jersey,292.657227109585,Mathematics,8
2009,New Mexico,269.704253797704,Mathematics,8
2009,New York,282.576915418605,Mathematics,8
2009,North Carolina,284.332635252336,Mathematics,8
2009,North Dakota,292.842488544915,Mathematics,8
2009,Ohio,285.583013784517,Mathematics,8
2009,Oklahoma,275.711956830545,Mathematics,8
2009,Oregon,285.036814371216,Mathematics,8
2009,Pennsylvania,288.304168923925,Mathematics,8
2009,Rhode Island,277.92371937219,Mathematics,8
2009,South Carolina,280.380855413571,Mathematics,8
2009,South Dakota,290.619127707892,Mathematics,8
2009,Tennessee,274.761821088186,Mathematics,8
2009,Texas,286.685076683873,Mathematics,8
2009,Utah,284.068251870422,Mathematics,8
2009,Vermont,292.866096352356,Mathematics,8
2009,Virginia,286.069754986907,Mathematics,8
2009,Washington,288.722375608773,Mathematics,8
2009,West Virginia,270.415765915327,Mathematics,8
2009,Wisconsin,288.140726236317,Mathematics,8
2009,Wyoming,286.10403398533,Mathematics,8
2007,Alabama,266.000109919931,Mathematics,8
2007,Alaska,282.557154120707,Mathematics,8
2007,Arizona,275.548426408372,Mathematics,8
2007,Arkansas,273.89986215628,Mathematics,8
2007,California,270.381784005669,Mathematics,8
2007,Colorado,286.192756166341,Mathematics,8
2007,Connecticut,282.472790062009,Mathematics,8
